lemma,fin:sg:pri:perf,fin:sg:pri:imperf,fin:sg:sec:perf,fin:sg:sec:imperf,fin:sg:ter:perf,fin:sg:ter:imperf,fin:pl:pri:perf,fin:pl:pri:imperf,fin:pl:sec:perf,fin:pl:sec:imperf,fin:pl:ter:perf,fin:pl:ter:imperf,praet:sg:f:perf,praet:sg:f:imperf,praet:sg:m1.m2.m3:perf,praet:sg:m1.m2.m3:imperf,praet:pl:m2.m3.f.n1.n2.p2.p3:perf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf,ppron3:sg:nom:m1.m2.m3:ter:_:_
obredlić,obredlę,,obredlisz,,obredli,,obredlimy,,obredlicie,,obredlą,,obredliła,,obredlił,,obredliły,,
obreparować,obreparuję,,obreparujesz,,obreparuje,,obreparujemy,,obreparujecie,,obreparują,,obreparowała,,obreparował,,obreparowały,,
obreparowywać,,obreparowuję,,obreparowujesz,,obreparowuje,,obreparowujemy,,obreparowujecie,,obreparowują,,obreparowywała,,obreparowywał,,obreparowywały,
obreperować,obreperuję,,obreperujesz,,obreperuje,,obreperujemy,,obreperujecie,,obreperują,,obreperowała,,obreperował,,obreperowały,,
obreperowywać,,obreperowuję,,obreperowujesz,,obreperowuje,,obreperowujemy,,obreperowujecie,,obreperowują,,obreperowywała,,obreperowywał,,obreperowywały,
obrewidować,obrewiduję,,obrewidujesz,,obrewiduje,,obrewidujemy,,obrewidujecie,,obrewidują,,obrewidowała,,obrewidował,,obrewidowały,,
obrębiać,,obrębiam,,obrębiasz,,obrębia,,obrębiamy,,obrębiacie,,obrębiają,,obrębiała,,obrębiał,,obrębiały,
obrębić,obrębię,,obrębisz,,obrębi,,obrębimy,,obrębicie,,obrębią,,obrębiła,,obrębił,,obrębiły,,
obrębować,,obrębuję,,obrębujesz,,obrębuje,,obrębujemy,,obrębujecie,,obrębują,,obrębowała,,obrębował,,obrębowały,
obrobić,obrobię,,obrobisz,,obrobi,,obrobimy,,obrobicie,,obrobią,,obrobiła,,obrobił,,obrobiły,,
