lemma,fin:sg:pri:perf,fin:sg:pri:imperf,fin:sg:sec:perf,fin:sg:sec:imperf,fin:sg:ter:perf,fin:sg:ter:imperf,fin:pl:pri:perf,fin:pl:pri:imperf,fin:pl:sec:perf,fin:pl:sec:imperf,fin:pl:ter:perf,fin:pl:ter:imperf,praet:sg:f:perf,praet:sg:f:imperf,praet:sg:m1.m2.m3:perf,praet:sg:m1.m2.m3:imperf,praet:pl:m2.m3.f.n1.n2.p2.p3:perf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf,ppron3:sg:nom:m1.m2.m3:ter:_:_
ablaktować,,ablaktuję,,ablaktujesz,,ablaktuje,,ablaktujemy,,ablaktujecie,,ablaktują,,ablaktowała,,ablaktował,,ablaktowały,
ablegrować,,ablegruję,,ablegrujesz,,ablegruje,,ablegrujemy,,ablegrujecie,,ablegrują,,ablegrowała,,ablegrował,,ablegrowały,
abonować,,abonuję,,abonujesz,,abonuje,,abonujemy,,abonujecie,,abonują,,abonowała,,abonował,,abonowały,
abradować,,abraduję,,abradujesz,,abraduje,,abradujemy,,abradujecie,,abradują,,abradowała,,abradował,,abradowały,
abrysować,abrysuję,,abrysujesz,,abrysuje,,abrysujemy,,abrysujecie,,abrysują,,abrysowała,,abrysował,,abrysowały,,
absentować,,absentuję,,absentujesz,,absentuje,,absentujemy,,absentujecie,,absentują,,absentowała,,absentował,,absentowały,
absolutyzować,,absolutyzuję,,absolutyzujesz,,absolutyzuje,,absolutyzujemy,,absolutyzujecie,,absolutyzują,,absolutyzowała,,absolutyzował,,absolutyzowały,
absolwować,,absolwuję,,absolwujesz,,absolwuje,,absolwujemy,,absolwujecie,,absolwują,,absolwowała,,absolwował,,absolwowały,
absorbować,,absorbuję,,absorbujesz,,absorbuje,,absorbujemy,,absorbujecie,,absorbują,,absorbowała,,absorbował,,absorbowały,
abstrahować,,abstrahuję,,abstrahujesz,,abstrahuje,,abstrahujemy,,abstrahujecie,,abstrahują,,abstrahowała,,abstrahował,,abstrahowały,
absurdalizować,,absurdalizuję,,absurdalizujesz,,absurdalizuje,,absurdalizujemy,,absurdalizujecie,,absurdalizują,,absurdalizowała,,absurdalizował,,absurdalizowały,
absztyfikować,,absztyfikuję,,absztyfikujesz,,absztyfikuje,,absztyfikujemy,,absztyfikujecie,,absztyfikują,,absztyfikowała,,absztyfikował,,absztyfikowały,
abszytować,,abszytuję,,abszytujesz,,abszytuje,,abszytujemy,,abszytujecie,,abszytują,,abszytowała,,abszytował,,abszytowały,
acetylować,,acetyluję,,acetylujesz,,acetyluje,,acetylujemy,,acetylujecie,,acetylują,,acetylowała,,acetylował,,acetylowały,
achać,,acham,,achasz,,acha,,achamy,,achacie,,achają,,achała,,achał,,achały,
achnąć,achnę,,achniesz,,achnie,,achniemy,,achniecie,,achną,,achnęła,,achnął,,achnęły,,
acylować,,acyluję,,acylujesz,,acyluje,,acylujemy,,acylujecie,,acylują,,acylowała,,acylował,,acylowały,
adiektywizować,,adiektywizuję,,adiektywizujesz,,adiektywizuje,,adiektywizujemy,,adiektywizujecie,,adiektywizują,,adiektywizowała,,adiektywizował,,adiektywizowały,
adiustować,,adiustuję,,adiustujesz,,adiustuje,,adiustujemy,,adiustujecie,,adiustują,,adiustowała,,adiustował,,adiustowały,
adiutantować,,adiutantuję,,adiutantujesz,,adiutantuje,,adiutantujemy,,adiutantujecie,,adiutantują,,adiutantowała,,adiutantował,,adiutantowały,
administrować,,administruję,,administrujesz,,administruje,,administrujemy,,administrujecie,,administrują,,administrowała,,administrował,,administrowały,
admirować,,admiruję,,admirujesz,,admiruje,,admirujemy,,admirujecie,,admirują,,admirowała,,admirował,,admirowały,
adnotować,,adnotuję,,adnotujesz,,adnotuje,,adnotujemy,,adnotujecie,,adnotują,,adnotowała,,adnotował,,adnotowały,
adorować,,adoruję,,adorujesz,,adoruje,,adorujemy,,adorujecie,,adorują,,adorowała,,adorował,,adorowały,
adresować,,adresuję,,adresujesz,,adresuje,,adresujemy,,adresujecie,,adresują,,adresowała,,adresował,,adresowały,
adrować,,adruję,,adrujesz,,adruje,,adrujemy,,adrujecie,,adrują,,adrowała,,adrował,,adrowały,
adsorbować,,adsorbuję,,adsorbujesz,,adsorbuje,,adsorbujemy,,adsorbujecie,,adsorbują,,adsorbowała,,adsorbował,,adsorbowały,
adwokatować,,adwokatuję,,adwokatujesz,,adwokatuje,,adwokatujemy,,adwokatujecie,,adwokatują,,adwokatowała,,adwokatował,,adwokatowały,
aerosolować,,aerosoluję,,aerosolujesz,,aerosoluje,,aerosolujemy,,aerosolujecie,,aerosolują,,aerosolowała,,aerosolował,,aerosolowały,
aerozolować,,aerozoluję,,aerozolujesz,,aerozoluje,,aerozolujemy,,aerozolujecie,,aerozolują,,aerozolowała,,aerozolował,,aerozolowały,
afektować,,afektuję,,afektujesz,,afektuje,,afektujemy,,afektujecie,,afektują,,afektowała,,afektował,,afektowały,
afinować,,afinuję,,afinujesz,,afinuje,,afinujemy,,afinujecie,,afinują,,afinowała,,afinował,,afinowały,
afiszować,,afiszuję,,afiszujesz,,afiszuje,,afiszujemy,,afiszujecie,,afiszują,,afiszowała,,afiszował,,afiszowały,
afrontować,,afrontuję,,afrontujesz,,afrontuje,,afrontujemy,,afrontujecie,,afrontują,,afrontowała,,afrontował,,afrontowały,
afrykanizować,,afrykanizuję,,afrykanizujesz,,afrykanizuje,,afrykanizujemy,,afrykanizujecie,,afrykanizują,,afrykanizowała,,afrykanizował,,afrykanizowały,
agitować,,agituję,,agitujesz,,agituje,,agitujemy,,agitujecie,,agitują,,agitowała,,agitował,,agitowały,
aglomerować,,aglomeruję,,aglomerujesz,,aglomeruje,,aglomerujemy,,aglomerujecie,,aglomerują,,aglomerowała,,aglomerował,,aglomerowały,
aglomeryzować,,aglomeryzuję,,aglomeryzujesz,,aglomeryzuje,,aglomeryzujemy,,aglomeryzujecie,,aglomeryzują,,aglomeryzowała,,aglomeryzował,,aglomeryzowały,
aglutynować,,aglutynuję,,aglutynujesz,,aglutynuje,,aglutynujemy,,aglutynujecie,,aglutynują,,aglutynowała,,aglutynował,,aglutynowały,
agnoskować,,agnoskuję,,agnoskujesz,,agnoskuje,,agnoskujemy,,agnoskujecie,,agnoskują,,agnoskowała,,agnoskował,,agnoskowały,
agrawować,,agrawuję,,agrawujesz,,agrawuje,,agrawujemy,,agrawujecie,,agrawują,,agrawowała,,agrawował,,agrawowały,
agregatować,,agregatuję,,agregatujesz,,agregatuje,,agregatujemy,,agregatujecie,,agregatują,,agregatowała,,agregatował,,agregatowały,
agregować,,agreguję,,agregujesz,,agreguje,,agregujemy,,agregujecie,,agregują,,agregowała,,agregował,,agregowały,
ajkować,,ajkuję,,ajkujesz,,ajkuje,,ajkujemy,,ajkujecie,,ajkują,,ajkowała,,ajkował,,ajkowały,
akać,,akam,,akasz,,aka,,akamy,,akacie,,akają,,akała,,akał,,akały,
akademizować,,akademizuję,,akademizujesz,,akademizuje,,akademizujemy,,akademizujecie,,akademizują,,akademizowała,,akademizował,,akademizowały,
akcentować,,akcentuję,,akcentujesz,,akcentuje,,akcentujemy,,akcentujecie,,akcentują,,akcentowała,,akcentował,,akcentowały,
akceptować,,akceptuję,,akceptujesz,,akceptuje,,akceptujemy,,akceptujecie,,akceptują,,akceptowała,,akceptował,,akceptowały,
akompaniować,,akompaniuję,,akompaniujesz,,akompaniuje,,akompaniujemy,,akompaniujecie,,akompaniują,,akompaniowała,,akompaniował,,akompaniowały,
aksamicić,,aksamicę,,aksamicisz,,aksamici,,aksamicimy,,aksamicicie,,aksamicą,,aksamiciła,,aksamicił,,aksamiciły,
aktorować,,aktoruję,,aktorujesz,,aktoruje,,aktorujemy,,aktorujecie,,aktorują,,aktorowała,,aktorował,,aktorowały,
aktualizować,,aktualizuję,,aktualizujesz,,aktualizuje,,aktualizujemy,,aktualizujecie,,aktualizują,,aktualizowała,,aktualizował,,aktualizowały,
aktywizować,,aktywizuję,,aktywizujesz,,aktywizuje,,aktywizujemy,,aktywizujecie,,aktywizują,,aktywizowała,,aktywizował,,aktywizowały,
akumulować,,akumuluję,,akumulujesz,,akumuluje,,akumulujemy,,akumulujecie,,akumulują,,akumulowała,,akumulował,,akumulowały,
akwirować,,akwiruję,,akwirujesz,,akwiruje,,akwirujemy,,akwirujecie,,akwirują,,akwirowała,,akwirował,,akwirowały,
alarmować,,alarmuję,,alarmujesz,,alarmuje,,alarmujemy,,alarmujecie,,alarmują,,alarmowała,,alarmował,,alarmowały,
alegoryzować,,alegoryzuję,,alegoryzujesz,,alegoryzuje,,alegoryzujemy,,alegoryzujecie,,alegoryzują,,alegoryzowała,,alegoryzował,,alegoryzowały,
alegować,,aleguję,,alegujesz,,aleguje,,alegujemy,,alegujecie,,alegują,,alegowała,,alegował,,alegowały,
alembikować,,alembikuję,,alembikujesz,,alembikuje,,alembikujemy,,alembikujecie,,alembikują,,alembikowała,,alembikował,,alembikowały,
alergizować,,alergizuję,,alergizujesz,,alergizuje,,alergizujemy,,alergizujecie,,alergizują,,alergizowała,,alergizował,,alergizowały,
algorytmizować,,algorytmizuję,,algorytmizujesz,,algorytmizuje,,algorytmizujemy,,algorytmizujecie,,algorytmizują,,algorytmizowała,,algorytmizował,,algorytmizowały,
alienować,,alienuję,,alienujesz,,alienuje,,alienujemy,,alienujecie,,alienują,,alienowała,,alienował,,alienowały,
alimentować,,alimentuję,,alimentujesz,,alimentuje,,alimentujemy,,alimentujecie,,alimentują,,alimentowała,,alimentował,,alimentowały,
alkalizować,,alkalizuję,,alkalizujesz,,alkalizuje,,alkalizujemy,,alkalizujecie,,alkalizują,,alkalizowała,,alkalizował,,alkalizowały,
alkilować,,alkiluję,,alkilujesz,,alkiluje,,alkilujemy,,alkilujecie,,alkilują,,alkilowała,,alkilował,,alkilowały,
alkoholizować,,alkoholizuję,,alkoholizujesz,,alkoholizuje,,alkoholizujemy,,alkoholizujecie,,alkoholizują,,alkoholizowała,,alkoholizował,,alkoholizowały,
alodynować,,alodynuję,,alodynujesz,,alodynuje,,alodynujemy,,alodynujecie,,alodynują,,alodynowała,,alodynował,,alodynowały,
alokować,,alokuję,,alokujesz,,alokuje,,alokujemy,,alokujecie,,alokują,,alokowała,,alokował,,alokowały,
alternować,,alternuję,,alternujesz,,alternuje,,alternujemy,,alternujecie,,alternują,,alternowała,,alternował,,alternowały,
alterować,,alteruję,,alterujesz,,alteruje,,alterujemy,,alterujecie,,alterują,,alterowała,,alterował,,alterowały,
aluminiować,,aluminiuję,,aluminiujesz,,aluminiuje,,aluminiujemy,,aluminiujecie,,aluminiują,,aluminiowała,,aluminiował,,aluminiowały,
ałłachować,,ałłachuję,,ałłachujesz,,ałłachuje,,ałłachujemy,,ałłachujecie,,ałłachują,,ałłachowała,,ałłachował,,ałłachowały,
ałłakować,,ałłakuję,,ałłakujesz,,ałłakuje,,ałłakujemy,,ałłakujecie,,ałłakują,,ałłakowała,,ałłakował,,ałłakowały,
amalgamować,,amalgamuję,,amalgamujesz,,amalgamuje,,amalgamujemy,,amalgamujecie,,amalgamują,,amalgamowała,,amalgamował,,amalgamowały,
amarantowieć,,amarantowieję,,amarantowiejesz,,amarantowieje,,amarantowiejemy,,amarantowiejecie,,amarantowieją,,amarantowiała,,amarantowiał,,amarantowiały,
ambarasować,,ambarasuję,,ambarasujesz,,ambarasuje,,ambarasujemy,,ambarasujecie,,ambarasują,,ambarasowała,,ambarasował,,ambarasowały,
ambarkować,,ambarkuję,,ambarkujesz,,ambarkuje,,ambarkujemy,,ambarkujecie,,ambarkują,,ambarkowała,,ambarkował,,ambarkowały,
ambasadorować,,ambasadoruję,,ambasadorujesz,,ambasadoruje,,ambasadorujemy,,ambasadorujecie,,ambasadorują,,ambasadorowała,,ambasadorował,,ambasadorowały,
ambicjonować,,ambicjonuję,,ambicjonujesz,,ambicjonuje,,ambicjonujemy,,ambicjonujecie,,ambicjonują,,ambicjonowała,,ambicjonował,,ambicjonowały,
amerykanizować,,amerykanizuję,,amerykanizujesz,,amerykanizuje,,amerykanizujemy,,amerykanizujecie,,amerykanizują,,amerykanizowała,,amerykanizował,,amerykanizowały,
aminować,,aminuję,,aminujesz,,aminuje,,aminujemy,,aminujecie,,aminują,,aminowała,,aminował,,aminowały,
amoniakować,,amoniakuję,,amoniakujesz,,amoniakuje,,amoniakujemy,,amoniakujecie,,amoniakują,,amoniakowała,,amoniakował,,amoniakowały,
amonować,,amonuję,,amonujesz,,amonuje,,amonujemy,,amonujecie,,amonują,,amonowała,,amonował,,amonowały,
amortyzować,,amortyzuję,,amortyzujesz,,amortyzuje,,amortyzujemy,,amortyzujecie,,amortyzują,,amortyzowała,,amortyzował,,amortyzowały,
amplifikować,,amplifikuję,,amplifikujesz,,amplifikuje,,amplifikujemy,,amplifikujecie,,amplifikują,,amplifikowała,,amplifikował,,amplifikowały,
anagramować,,anagramuję,,anagramujesz,,anagramuje,,anagramujemy,,anagramujecie,,anagramują,,anagramowała,,anagramował,,anagramowały,
analizować,,analizuję,,analizujesz,,analizuje,,analizujemy,,analizujecie,,analizują,,analizowała,,analizował,,analizowały,
analogizować,,analogizuję,,analogizujesz,,analogizuje,,analogizujemy,,analogizujecie,,analogizują,,analogizowała,,analogizował,,analogizowały,
anarchizować,,anarchizuję,,anarchizujesz,,anarchizuje,,anarchizujemy,,anarchizujecie,,anarchizują,,anarchizowała,,anarchizował,,anarchizowały,
anatomizować,,anatomizuję,,anatomizujesz,,anatomizuje,,anatomizujemy,,anatomizujecie,,anatomizują,,anatomizowała,,anatomizował,,anatomizowały,
anemizować,,anemizuję,,anemizujesz,,anemizuje,,anemizujemy,,anemizujecie,,anemizują,,anemizowała,,anemizował,,anemizowały,
angażować,,angażuję,,angażujesz,,angażuje,,angażujemy,,angażujecie,,angażują,,angażowała,,angażował,,angażowały,
angielszczyć,,angielszczę,,angielszczysz,,angielszczy,,angielszczymy,,angielszczycie,,angielszczą,,angielszczyła,,angielszczył,,angielszczyły,
anglezować,,anglezuję,,anglezujesz,,anglezuje,,anglezujemy,,anglezujecie,,anglezują,,anglezowała,,anglezował,,anglezowały,
anglizować,,anglizuję,,anglizujesz,,anglizuje,,anglizujemy,,anglizujecie,,anglizują,,anglizowała,,anglizował,,anglizowały,
angobować,,angobuję,,angobujesz,,angobuje,,angobujemy,,angobujecie,,angobują,,angobowała,,angobował,,angobowały,
anieleć,,anieleję,,anielejesz,,anieleje,,anielejemy,,anielejecie,,anieleją,,anielała,,anielał,,anielały,
anielić,,anielę,,anielisz,,anieli,,anielimy,,anielicie,,anielą,,anieliła,,anielił,,anieliły,
anihilować,,anihiluję,,anihilujesz,,anihiluje,,anihilujemy,,anihilujecie,,anihilują,,anihilowała,,anihilował,,anihilowały,
animalizować,,animalizuję,,animalizujesz,,animalizuje,,animalizujemy,,animalizujecie,,animalizują,,animalizowała,,animalizował,,animalizowały,
animizować,,animizuję,,animizujesz,,animizuje,,animizujemy,,animizujecie,,animizują,,animizowała,,animizował,,animizowały,
animować,,animuję,,animujesz,,animuje,,animujemy,,animujecie,,animują,,animowała,,animował,,animowały,
ankietować,,ankietuję,,ankietujesz,,ankietuje,,ankietujemy,,ankietujecie,,ankietują,,ankietowała,,ankietował,,ankietowały,
ankietyzować,,ankietyzuję,,ankietyzujesz,,ankietyzuje,,ankietyzujemy,,ankietyzujecie,,ankietyzują,,ankietyzowała,,ankietyzował,,ankietyzowały,
ankrować,,ankruję,,ankrujesz,,ankruje,,ankrujemy,,ankrujecie,,ankrują,,ankrowała,,ankrował,,ankrowały,
anodować,,anoduję,,anodujesz,,anoduje,,anodujemy,,anodujecie,,anodują,,anodowała,,anodował,,anodowały,
anodyzować,,anodyzuję,,anodyzujesz,,anodyzuje,,anodyzujemy,,anodyzujecie,,anodyzują,,anodyzowała,,anodyzował,,anodyzowały,
anonsować,,anonsuję,,anonsujesz,,anonsuje,,anonsujemy,,anonsujecie,,anonsują,,anonsowała,,anonsował,,anonsowały,
antagonizować,,antagonizuję,,antagonizujesz,,antagonizuje,,antagonizujemy,,antagonizujecie,,antagonizują,,antagonizowała,,antagonizował,,antagonizowały,
antropomorfizować,,antropomorfizuję,,antropomorfizujesz,,antropomorfizuje,,antropomorfizujemy,,antropomorfizujecie,,antropomorfizują,,antropomorfizowała,,antropomorfizował,,antropomorfizowały,
antycypować,,antycypuję,,antycypujesz,,antycypuje,,antycypujemy,,antycypujecie,,antycypują,,antycypowała,,antycypował,,antycypowały,
antykizować,,antykizuję,,antykizujesz,,antykizuje,,antykizujemy,,antykizujecie,,antykizują,,antykizowała,,antykizował,,antykizowały,
antyszambrować,,antyszambruję,,antyszambrujesz,,antyszambruje,,antyszambrujemy,,antyszambrujecie,,antyszambrują,,antyszambrowała,,antyszambrował,,antyszambrowały,
apatycznieć,,apatycznieję,,apatyczniejesz,,apatycznieje,,apatyczniejemy,,apatyczniejecie,,apatycznieją,,apatyczniała,,apatyczniał,,apatyczniały,
apelować,,apeluję,,apelujesz,,apeluje,,apelujemy,,apelujecie,,apelują,,apelowała,,apelował,,apelowały,
apercypować,,apercypuję,,apercypujesz,,apercypuje,,apercypujemy,,apercypujecie,,apercypują,,apercypowała,,apercypował,,apercypowały,
aplaudować,,aplauduję,,aplaudujesz,,aplauduje,,aplaudujemy,,aplaudujecie,,aplaudują,,aplaudowała,,aplaudował,,aplaudowały,
aplauzować,,aplauzuję,,aplauzujesz,,aplauzuje,,aplauzujemy,,aplauzujecie,,aplauzują,,aplauzowała,,aplauzował,,aplauzowały,
aplegierować,,aplegieruję,,aplegierujesz,,aplegieruje,,aplegierujemy,,aplegierujecie,,aplegierują,,aplegierowała,,aplegierował,,aplegierowały,
aplegrować,,aplegruję,,aplegrujesz,,aplegruje,,aplegrujemy,,aplegrujecie,,aplegrują,,aplegrowała,,aplegrował,,aplegrowały,
aplikować,,aplikuję,,aplikujesz,,aplikuje,,aplikujemy,,aplikujecie,,aplikują,,aplikowała,,aplikował,,aplikowały,
apologizować,,apologizuję,,apologizujesz,,apologizuje,,apologizujemy,,apologizujecie,,apologizują,,apologizowała,,apologizował,,apologizowały,
aportować,,aportuję,,aportujesz,,aportuje,,aportujemy,,aportujecie,,aportują,,aportowała,,aportował,,aportowały,
apostołować,,apostołuję,,apostołujesz,,apostołuje,,apostołujemy,,apostołujecie,,apostołują,,apostołowała,,apostołował,,apostołowały,
apostrofować,,apostrofuję,,apostrofujesz,,apostrofuje,,apostrofujemy,,apostrofujecie,,apostrofują,,apostrofowała,,apostrofował,,apostrofowały,
apoteozować,,apoteozuję,,apoteozujesz,,apoteozuje,,apoteozujemy,,apoteozujecie,,apoteozują,,apoteozowała,,apoteozował,,apoteozowały,
aprecjonować,,aprecjonuję,,aprecjonujesz,,aprecjonuje,,aprecjonujemy,,aprecjonujecie,,aprecjonują,,aprecjonowała,,aprecjonował,,aprecjonowały,
apretować,,apretuję,,apretujesz,,apretuje,,apretujemy,,apretujecie,,apretują,,apretowała,,apretował,,apretowały,
apreturować,,apreturuję,,apreturujesz,,apreturuje,,apreturujemy,,apreturujecie,,apreturują,,apreturowała,,apreturował,,apreturowały,
aprobować,,aprobuję,,aprobujesz,,aprobuje,,aprobujemy,,aprobujecie,,aprobują,,aprobowała,,aprobował,,aprobowały,
aproksymować,,aproksymuję,,aproksymujesz,,aproksymuje,,aproksymujemy,,aproksymujecie,,aproksymują,,aproksymowała,,aproksymował,,aproksymowały,
aprowidować,,aprowiduję,,aprowidujesz,,aprowiduje,,aprowidujemy,,aprowidujecie,,aprowidują,,aprowidowała,,aprowidował,,aprowidowały,
arabizować,,arabizuję,,arabizujesz,,arabizuje,,arabizujemy,,arabizujecie,,arabizują,,arabizowała,,arabizował,,arabizowały,
aranżować,,aranżuję,,aranżujesz,,aranżuje,,aranżujemy,,aranżujecie,,aranżują,,aranżowała,,aranżował,,aranżowały,
arbitrażować,,arbitrażuję,,arbitrażujesz,,arbitrażuje,,arbitrażujemy,,arbitrażujecie,,arbitrażują,,arbitrażowała,,arbitrażował,,arbitrażowały,
archaizować,,archaizuję,,archaizujesz,,archaizuje,,archaizujemy,,archaizujecie,,archaizują,,archaizowała,,archaizował,,archaizowały,
archiwizować,,archiwizuję,,archiwizujesz,,archiwizuje,,archiwizujemy,,archiwizujecie,,archiwizują,,archiwizowała,,archiwizował,,archiwizowały,
arendować,,arenduję,,arendujesz,,arenduje,,arendujemy,,arendujecie,,arendują,,arendowała,,arendował,,arendowały,
arfować,,arfuję,,arfujesz,,arfuje,,arfujemy,,arfujecie,,arfują,,arfowała,,arfował,,arfowały,
argumentować,,argumentuję,,argumentujesz,,argumentuje,,argumentujemy,,argumentujecie,,argumentują,,argumentowała,,argumentował,,argumentowały,
aromatyzować,,aromatyzuję,,aromatyzujesz,,aromatyzuje,,aromatyzujemy,,aromatyzujecie,,aromatyzują,,aromatyzowała,,aromatyzował,,aromatyzowały,
artykułować,,artykułuję,,artykułujesz,,artykułuje,,artykułujemy,,artykułujecie,,artykułują,,artykułowała,,artykułował,,artykułowały,
artystować,,artystuję,,artystujesz,,artystuje,,artystujemy,,artystujecie,,artystują,,artystowała,,artystował,,artystowały,
arylować,,aryluję,,arylujesz,,aryluje,,arylujemy,,arylujecie,,arylują,,arylowała,,arylował,,arylowały,
arystokratyzować,,arystokratyzuję,,arystokratyzujesz,,arystokratyzuje,,arystokratyzujemy,,arystokratyzujecie,,arystokratyzują,,arystokratyzowała,,arystokratyzował,,arystokratyzowały,
arytmetyzować,,arytmetyzuję,,arytmetyzujesz,,arytmetyzuje,,arytmetyzujemy,,arytmetyzujecie,,arytmetyzują,,arytmetyzowała,,arytmetyzował,,arytmetyzowały,
asekurować,,asekuruję,,asekurujesz,,asekuruje,,asekurujemy,,asekurujecie,,asekurują,,asekurowała,,asekurował,,asekurowały,
asenizować,,asenizuję,,asenizujesz,,asenizuje,,asenizujemy,,asenizujecie,,asenizują,,asenizowała,,asenizował,,asenizowały,
asfaltować,,asfaltuję,,asfaltujesz,,asfaltuje,,asfaltujemy,,asfaltujecie,,asfaltują,,asfaltowała,,asfaltował,,asfaltowały,
asocjować,,asocjuję,,asocjujesz,,asocjuje,,asocjujemy,,asocjujecie,,asocjują,,asocjowała,,asocjował,,asocjowały,
aspektować,,aspektuję,,aspektujesz,,aspektuje,,aspektujemy,,aspektujecie,,aspektują,,aspektowała,,aspektował,,aspektowały,
aspirować,,aspiruję,,aspirujesz,,aspiruje,,aspirujemy,,aspirujecie,,aspirują,,aspirowała,,aspirował,,aspirowały,
asygnować,,asygnuję,,asygnujesz,,asygnuje,,asygnujemy,,asygnujecie,,asygnują,,asygnowała,,asygnował,,asygnowały,
asymilować,,asymiluję,,asymilujesz,,asymiluje,,asymilujemy,,asymilujecie,,asymilują,,asymilowała,,asymilował,,asymilowały,
asystować,,asystuję,,asystujesz,,asystuje,,asystujemy,,asystujecie,,asystują,,asystowała,,asystował,,asystowały,
atakować,,atakuję,,atakujesz,,atakuje,,atakujemy,,atakujecie,,atakują,,atakowała,,atakował,,atakowały,
atamanić,,atamanię,,atamanisz,,atamani,,atamanimy,,atamanicie,,atamanią,,atamaniła,,atamanił,,atamaniły,
atamanować,,atamanuję,,atamanujesz,,atamanuje,,atamanujemy,,atamanujecie,,atamanują,,atamanowała,,atamanował,,atamanowały,
atandrysować,,atandrysuję,,atandrysujesz,,atandrysuje,,atandrysujemy,,atandrysujecie,,atandrysują,,atandrysowała,,atandrysował,,atandrysowały,
ateizować,,ateizuję,,ateizujesz,,ateizuje,,ateizujemy,,ateizujecie,,ateizują,,ateizowała,,ateizował,,ateizowały,
atentować,,atentuję,,atentujesz,,atentuje,,atentujemy,,atentujecie,,atentują,,atentowała,,atentował,,atentowały,
atomizować,,atomizuję,,atomizujesz,,atomizuje,,atomizujemy,,atomizujecie,,atomizują,,atomizowała,,atomizował,,atomizowały,
atutować,,atutuję,,atutujesz,,atutuje,,atutujemy,,atutujecie,,atutują,,atutowała,,atutował,,atutowały,
aukcjonować,,aukcjonuję,,aukcjonujesz,,aukcjonuje,,aukcjonujemy,,aukcjonujecie,,aukcjonują,,aukcjonowała,,aukcjonował,,aukcjonowały,
auskultować,,auskultuję,,auskultujesz,,auskultuje,,auskultujemy,,auskultujecie,,auskultują,,auskultowała,,auskultował,,auskultowały,
autobiografizować,,autobiografizuję,,autobiografizujesz,,autobiografizuje,,autobiografizujemy,,autobiografizujecie,,autobiografizują,,autobiografizowała,,autobiografizował,,autobiografizowały,
autoformatować,,autoformatuję,,autoformatujesz,,autoformatuje,,autoformatujemy,,autoformatujecie,,autoformatują,,autoformatowała,,autoformatował,,autoformatowały,
autografować,,autografuję,,autografujesz,,autografuje,,autografujemy,,autografujecie,,autografują,,autografowała,,autografował,,autografowały,
autoironizować,,autoironizuję,,autoironizujesz,,autoironizuje,,autoironizujemy,,autoironizujecie,,autoironizują,,autoironizowała,,autoironizował,,autoironizowały,
autolizować,,autolizuję,,autolizujesz,,autolizuje,,autolizujemy,,autolizujecie,,autolizują,,autolizowała,,autolizował,,autolizowały,
automatyzować,,automatyzuję,,automatyzujesz,,automatyzuje,,automatyzujemy,,automatyzujecie,,automatyzują,,automatyzowała,,automatyzował,,automatyzowały,
autonomizować,,autonomizuję,,autonomizujesz,,autonomizuje,,autonomizujemy,,autonomizujecie,,autonomizują,,autonomizowała,,autonomizował,,autonomizowały,
awanturować,,awanturuję,,awanturujesz,,awanturuje,,awanturujemy,,awanturujecie,,awanturują,,awanturowała,,awanturował,,awanturowały,
awanturzyć,,awanturzę,,awanturzysz,,awanturzy,,awanturzymy,,awanturzycie,,awanturzą,,awanturzyła,,awanturzył,,awanturzyły,
azardować,,azarduję,,azardujesz,,azarduje,,azardujemy,,azardujecie,,azardują,,azardowała,,azardował,,azardowały,
azotować,,azotuję,,azotujesz,,azotuje,,azotujemy,,azotujecie,,azotują,,azotowała,,azotował,,azotowały,
ażurować,,ażuruję,,ażurujesz,,ażuruje,,ażurujemy,,ażurujecie,,ażurują,,ażurowała,,ażurował,,ażurowały,
babić,,babię,,babisz,,babi,,babimy,,babicie,,babią,,babiła,,babił,,babiły,
babieć,,babieję,,babiejesz,,babieje,,babiejemy,,babiejecie,,babieją,,babiała,,babiał,,babiały,
babrać,,babram,,babrasz,,babrze,,babramy,,babrzecie,,babrzą,,babrała,,babrał,,babrały,
bachać,,bacham,,bachasz,,bacha,,bachamy,,bachacie,,bachają,,bachała,,bachał,,bachały,
bachnąć,bachnę,,bachniesz,,bachnie,,bachniemy,,bachniecie,,bachną,,bachnęła,,bachnął,,bachnęły,,
bachusować,,bachusuję,,bachusujesz,,bachusuje,,bachusujemy,,bachusujecie,,bachusują,,bachusowała,,bachusował,,bachusowały,
bacnąć,bacnę,,bacniesz,,bacnie,,bacniemy,,bacniecie,,bacną,,bacnęła,,bacnął,,bacnęły,,
bacować,,bacuję,,bacujesz,,bacuje,,bacujemy,,bacujecie,,bacują,,bacowała,,bacował,,bacowały,
baczyć,,baczę,,baczysz,,baczy,,baczymy,,baczycie,,baczą,,baczyła,,baczył,,baczyły,
bać,,boję,,boisz,,boi,,boimy,,boicie,,boją,,bała,,bał,,bały,
badać,,badam,,badasz,,bada,,badamy,,badacie,,badają,,badała,,badał,,badały,
bagatelizować,,bagatelizuję,,bagatelizujesz,,bagatelizuje,,bagatelizujemy,,bagatelizujecie,,bagatelizują,,bagatelizowała,,bagatelizował,,bagatelizowały,
bagrować,,bagruję,,bagrujesz,,bagruje,,bagrujemy,,bagrujecie,,bagrują,,bagrowała,,bagrował,,bagrowały,
bajać,,bajam,,bajesz,,baja,,bajamy,,bajacie,,bają,,bajała,,bajał,,bajały,
